ProductName,Category,Brand,UnitPrice
Supplement,Home & Furniture,FakeUrbanGlow,434
Antivirus,Sports & Recreation,FakeEtheralEdge,272
Pet Carrier,Sports & Recreation,FakeUrbanGlow,381
Tackle Box,Toys & Games,FakeLuxAura,303
Volleyball,Pets,FakeEtheralEdge,457
Dishwasher,Sports & Recreation,FakeVelveVista,973
Building Blocks,Arts & Crafts,FakeEtheralEdge,556
Rain Jacket,Toys & Games,FakeVelveVista,256
Toy Car,Kitchen & Dining,FakeLuxAura,123
Ice Skates,Toys & Games,FakeLuxAura,763
Supplement,Arts & Crafts,FakeVelveVista,272
Blender,Outdoor & Garden,FakeUrbanGlow,117
Baseball Glove,Home Appliances,FakeZenithStyle,253
Bird Feeder,Home Appliances,FakeVelveVista,452
Electric Shaver,Arts & Crafts,FakeEtheralEdge,931
Wetsuit,Outdoor & Garden,FakeVelveVista,198
Air Purifier,Arts & Crafts,FakeLuxAura,671
Air Conditioner,Home & Furniture,FakeLuxAura,193
Dumbbells,Home Appliances,FakeLuxAura,155
Hair Dryer,Sports & Recreation,FakeZenithStyle,260
Speaker,Home Appliances,FakeVelveVista,105
Thermos,Home Appliances,FakeZenithStyle,612
Soap,Arts & Crafts,FakeEtheralEdge,464
Blender,Arts & Crafts,FakeVelveVista,714
Fire Pit,Sports & Recreation,FakeUrbanGlow,401
Sled,Home & Furniture,FakeZenithStyle,966
Backpacking Stove,Health & Fitness,FakeLuxAura,536
Camping Chair,Toys & Games,FakeVelveVista,950
Juicer,Pets,FakeUrbanGlow,567
Blender,Pets,FakeEtheralEdge,711
Power Bank,Toys & Games,FakeZenithStyle,977
Dumbbells,Kitchen & Dining,FakeVelveVista,348
Electric Shaver,Health & Fitness,FakeVelveVista,678
Water Filter,Arts & Crafts,FakeEtheralEdge,753
Hammock,Home Appliances,FakeVelveVista,768
Trekking Poles,Pets,FakeLuxAura,955
Oven,Arts & Crafts,FakeEtheralEdge,122
Dog House,Toys & Games,FakeUrbanGlow,692
Art Supplies,Toys & Games,FakeLuxAura,817
Camping Tent,Home Appliances,FakeUrbanGlow,336
Plant Pot,Toys & Games,FakeZenithStyle,276
Jacket,Arts & Crafts,FakeLuxAura,990
Elliptical,Pets,FakeLuxAura,127
Antivirus,Sports & Recreation,FakeZenithStyle,695
Bed,Home Appliances,FakeVelveVista,602
Surfboard,Home Appliances,FakeVelveVista,960
External SSD,Kitchen & Dining,FakeUrbanGlow,762
Printer,Electronics,FakeZenithStyle,279
Portable Hard Drive,Arts & Crafts,FakeEtheralEdge,817
Pet Toy,Kitchen & Dining,FakeZenithStyle,205
Art Supplies,Arts & Crafts,FakeUrbanGlow,533
Trekking Poles,Health & Fitness,FakeZenithStyle,690
Electric Shaver,Outdoor & Garden,FakeVelveVista,210
Air Purifier,Home & Furniture,FakeVelveVista,345
Speaker,Arts & Crafts,FakeLuxAura,420
Projector,Home & Furniture,FakeZenithStyle,323
Dog House,Home & Furniture,FakeZenithStyle,591
Robot Vacuum,Health & Fitness,FakeUrbanGlow,170
3D Printer,Health & Fitness,FakeLuxAura,124
Portable Hard Drive,Home Appliances,FakeUrbanGlow,917
Snowboard,Toys & Games,FakeVelveVista,208
Drone,Home & Furniture,FakeEtheralEdge,939
Dog Collar,Health & Fitness,FakeEtheralEdge,503
Ski Goggles,Home & Furniture,FakeUrbanGlow,466
Trekking Poles,Arts & Crafts,FakeLuxAura,189
Life Jacket,Toys & Games,FakeEtheralEdge,482
Basketball,Electronics,FakeEtheralEdge,838
Camping Chair,Outdoor & Garden,FakeZenithStyle,871
Outdoor Umbrella,Sports & Recreation,FakeLuxAura,915
Snowboard,Outdoor & Garden,FakeUrbanGlow,198
Fishing Rod,Kitchen & Dining,FakeVelveVista,776
Snowboard,Toys & Games,FakeVelveVista,129
Ping Pong Table,Kitchen & Dining,FakeUrbanGlow,740
BBQ Grill,Home & Furniture,FakeEtheralEdge,861
Trekking Poles,Pets,FakeEtheralEdge,921
Tent,Electronics,FakeVelveVista,346
Electric Toothbrush,Home & Furniture,FakeVelveVista,578
Helmet,Kitchen & Dining,FakeVelveVista,115
Air Purifier,Home Appliances,FakeZenithStyle,784
Thermos,Home & Furniture,FakeZenithStyle,969
Camping Tent,Kitchen & Dining,FakeZenithStyle,298
Cat Litter Box,Kitchen & Dining,FakeEtheralEdge,244
Refrigerator,Outdoor & Garden,FakeZenithStyle,756
Aquarium,Electronics,FakeEtheralEdge,945
Smart Doorbell,Electronics,FakeEtheralEdge,704
Sled,Home & Furniture,FakeLuxAura,724
Vacuum Cleaner,Home & Furniture,FakeVelveVista,702
Air Conditioner,Kitchen & Dining,FakeUrbanGlow,393
External SSD,Home & Furniture,FakeEtheralEdge,265
Pillow,Electronics,FakeUrbanGlow,634
Dehumidifier,Toys & Games,FakeEtheralEdge,669
Basketball,Kitchen & Dining,FakeLuxAura,287
Antivirus,Arts & Crafts,FakeVelveVista,116
Air Purifier,Pets,FakeZenithStyle,262
Volleyball,Health & Fitness,FakeUrbanGlow,579
Paddleboard,Toys & Games,FakeLuxAura,297
Sleeping Bag,Toys & Games,FakeVelveVista,201
Pet Toy,Health & Fitness,FakeZenithStyle,637
BBQ Grill,Electronics,FakeVelveVista,283
BBQ Grill,Home & Furniture,FakeLuxAura,784
