StoreName,StoreType,StoreOpeningDate,Address,City,State,Country,Region,Manager Name
The Luxe Treasures,SMB,1974-11-13,565 Smith Lakes Harrisville  GU 70393,Charlesmouth,New Hampshire,Hong Kong,North,Ashley
The Serene Oasis,Outlet Stores,1981-06-03,761 Mark Park Suite 670 Lake Kristaland  MP 87611,South Ericashire,Utah,Montserrat,West,Jessica
The Enchanted Closet,Outlet Stores,2009-04-03,33719 Lopez Mountains Chasetown  CT 28781,New William,Wisconsin,Burundi,East,David
The Chic Hub,MBO,1971-08-07,6681 Brenda Way New Edwardton  MA 71144,New Michael,Oklahoma,Pitcairn Islands,West,Regina
The Harmony Haven,Outlet Stores,1976-04-23,9684 Elizabeth Crescent Lake Mark  UT 09505,Jeffreytown,Maryland,Tuvalu,South,David
The Urban Marketplace,MBO,2017-12-03,22176 Davis Place New Natalie  NY 09659,Lake Carlos,Louisiana,Puerto Rico,North,Theresa
The Majestic Creations,Outlet Stores,2022-04-10,Unit 2097 Box 7943 DPO AP 22607,Phyllismouth,Louisiana,Guam,West,Holly
The Polished Merchant,Outlet Stores,1993-08-10,3624 Richard Estates Apt. 206 Lake Amy  HI 07137,East Matthewshire,Nebraska,Eritrea,West,Joshua
The Elegant Marvels,SMB,1989-09-04,6101 Gutierrez Crest New Meganmouth  KS 61931,Lake Zacharyview,Texas,Pitcairn Islands,West,Dale
The Luxe Merchant,SMB,2003-04-15,USNV Summers FPO AE 17880,Wangside,Kansas,Mayotte,North,Donald
The Serene Marketplace,SMB,1987-06-11,4593 Chad Keys Suite 440 West Annemouth  NH 85827,Scotttown,New Hampshire,Liberia,South,Shirley
The Happy Hub,Outlet Stores,2014-12-02,87499 Kent Glens Apt. 264 Pittmanland  AS 08987,Lake Richardport,Maine,Jamaica,South,Patricia
The Dapper Emporium,Outlet Stores,1987-11-07,15973 Jordan Walks New Joel  CO 33628,East Sydneystad,Wisconsin,Ireland,South,Cynthia
The Blissful Emporium,Exclusive,2018-06-15,3740 Cameron Branch Suite 866 West Susanburgh  AS 77512,Morganstad,Idaho,Samoa,West,Zachary
The Urban Marketplace,SMB,1982-11-15,91819 Steven Islands Apt. 304 North Jenniferhaven  PA 18962,Blakeborough,Idaho,Armenia,West,Amy
The Elegant Nook,SMB,1987-10-16,197 Nancy Village Apt. 312 South Thomasberg  NJ 17184,New Jerry,New Jersey,Malta,South,Sandra
The Stylish Haven,MBO,1975-02-26,42611 Phelps Ramp Adamton  MH 36420,Lake Jeff,Iowa,Japan,South,Michael
The Dapper Essentials,Exclusive,1995-03-08,387 Taylor Crescent Apt. 610 Wesleytown  OK 37273,Wendyburgh,Missouri,Libyan Arab Jamahiriya,East,Kelly
The Cozy Haven,MBO,1975-04-26,193 Amanda Flat Port Andrew  UT 93137,Port Gabrielfort,West Virginia,Malaysia,East,Kim
